team,assistor,assisted
ORL,20000689,20000678.0
IND,20000689,20000863.0
IND,20000863,20001424.0
ORL,20000678,20000679.0
IND,20000863,20000689.0
ORL,20000680,20000678.0
IND,20000689,20000587.0
ORL,20000680,20000681.0
ORL,20000680,20000679.0
IND,20000655,20000587.0
ORL,20000680,20000678.0
ORL,20001683,20001451.0
IND,20000751,20001683.0
IND,20000813,20001683.0
ORL,20000689,20000758.0
ORL,20000813,20000681.0
ORL,20001451,20000491.0
ORL,20001451,20000491.0
IND,20000751,20001683.0
ORL,20000758,20000813.0
ORL,20000813,20001451.0
IND,20000751,20001683.0
IND,20000751,20001424.0
ORL,20000655,20000813.0
ORL,20000655,20000628.0
ORL,20000751,20000453.0
ORL,20000587,20000678.0
IND,20000751,20000689.0
IND,20000751,20001424.0
ORL,20000689,20000681.0
IND,20000587,20000863.0
ORL,20000453,20000679.0
IND,20000453,20000587.0
IND,20000680,20000863.0
ORL,20000678,20000679.0
IND,20000679,20000591.0
IND,20000587,20000591.0
IND,20000681,20000587.0
ORL,20000591,20000681.0
IND,20000863,20000591.0
ORL,20000679,20000678.0
ORL,20001424,20000681.0
ORL,20000689,20000678.0
IND,20000680,20000863.0
ORL,20000689,20000678.0
ORL,20000591,20000680.0
ORL,20000689,20000813.0
IND,20000863,20000591.0
ORL,20000863,20000813.0
ORL,20000689,20000491.0
ORL,20000689,20000813.0
IND,20000758,20001683.0
ORL,20000591,20000813.0
IND,20000655,20000751.0
ORL,20000813,20000491.0
IND,20000655,20000591.0
ORL,20000813,20000453.0
IND,20000689,20000591.0
IND,20001683,20000689.0
ORL,20000758,20000813.0
IND,20000863,20000587.0
IND,20000813,20000863.0
ORL,20000863,20000681.0
IND,20000863,20000591.0
IND,20001451,20000587.0
IND,20000863,20000587.0
ORL,20000679,20000681.0
ORL,20000680,20000679.0
ORL,20000680,20000679.0
IND,20000689,20000591.0
ORL,20000679,20000678.0
ORL,20000863,20000679.0
UTA,20001844,20000834.0
PHI,20000797,20001597.0
UTA,20001661,20000834.0
UTA,20000834,20000797.0
UTA,20000563,20000797.0
PHI,20000903,20001525.0
PHI,20001692,20000504.0
PHI,20001525,20001692.0
UTA,20000839,20000673.0
PHI,20001597,20001692.0
UTA,20000504,20001434.0
UTA,20000839,20000834.0
UTA,20000903,20000797.0
UTA,20000726,20000834.0
UTA,20000797,20000837.0
PHI,20000797,20001525.0
PHI,20000673,20000458.0
UTA,20001661,20000837.0
UTA,20001525,20000797.0
UTA,20001844,20000797.0
UTA,20000903,20000839.0
UTA,20000665,20000834.0
PHI,20000665,20000726.0
PHI,20001525,20000726.0
UTA,20000842,20000797.0
UTA,20001597,20000834.0
PHI,20000839,20001525.0
PHI,20000673,20000726.0
PHI,20000673,20000665.0
UTA,20000563,20000842.0
UTA,20001661,20000797.0
PHI,20000726,20000665.0
PHI,20000903,20000665.0
UTA,20001844,20000842.0
UTA,20000903,20001844.0
PHI,20001661,20000665.0
PHI,20000834,20000726.0
PHI,20000665,20000458.0
PHI,20000615,20000903.0
UTA,20000615,20001844.0
PHI,20001525,20001661.0
UTA,20000834,20000839.0
PHI,20000458,20001661.0
PHI,20000673,20001661.0
PHI,20000839,20000504.0
PHI,20000726,20001661.0
PHI,20001597,20000665.0
PHI,20000563,20001525.0
UTA,20000673,20000839.0
PHI,20000673,20001597.0
UTA,20000665,20000842.0
PHI,20001525,20001692.0
UTA,20001434,20000563.0
PHI,20000839,20000665.0
UTA,20001844,20000673.0
PHI,20001844,20001661.0
PHI,20001525,20000504.0
PHI,20000615,20001525.0
UTA,20000797,20000615.0
PHI,20000615,20001661.0
UTA,20001661,20001844.0
UTA,20000726,20000834.0
PHI,20000842,20000903.0
PHI,20000726,20000665.0
UTA,20000839,20001913.0
UTA,20000726,20000834.0
PHI,20000665,20000903.0
PHI,20000834,20000665.0
PHI,20001661,20000903.0
UTA,20001844,20001913.0
PHI,20000665,20000903.0
UTA,20000903,20001844.0
CHA,20000752,20000748.0
